representation,model,fit,held_out_iso3,fold,n_train,matrix_columns,matrix_rank,feature_identified,column,coefficient
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,elevation,-8.268504221337555e-07
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,continentality,4.348143254929043e-05
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,population,-0.011691411162182702
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,station_density,-0.0016310482652001769
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,climate_zone=B,0.0021356231923677508
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,climate_zone=C,-0.025587176423250316
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,climate_zone=D,-0.010063724962066402
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,climate_zone=E,-0.09734020433004892
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,hemisphere=S,-0.026587435063040676
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,spatial_block=Asia,-0.05512886834694649
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,spatial_block=Europe,-0.0648606567700936
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,spatial_block=North America,-0.09293680823229374
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,spatial_block=Oceania,-0.058136246228369916
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,spatial_block=South America,-0.06404204294872783
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,income_group=Low-income countries,-0.0037777025523155192
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,income_group=Lower-middle-income countries,-0.012476908348238284
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,income_group=Upper-middle-income countries,-0.015638216445420294
primary_total_co2,M0star,primary_training,EGY,13,137,20,20,,intercept,0.2617835221417727
primary_total_co2,M0star,primary_training,EGY,13,137,20,20,,cum_co2_total,0.021753639724812483
primary_total_co2,M0star,primary_training,EGY,13,137,20,20,,abs_latitude,0.001128165440182779
primary_total_co2,M0star,primary_training,EGY,13,137,20,20,,elevation,-2.3131379184514216e-06
primary_total_co2,M0star,primary_training,EGY,13,137,20,20,,continentality,3.480953703002775e-05
primary_total_co2,M0star,primary_training,EGY,13,137,20,20,,population,-0.017650262997982523
