iso3,Country,feature,coverage_basis,achieved,required,rule,passes,missing_area_km2,missing_support_source,classification
NER,Niger,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
NER,Niger,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
NER,Niger,elevation,valid terrestrial area (land-centred ETOPO pixels),0.999980008206272,0.98,>= 98%,True,23.73708434739922,,
NER,Niger,continentality,terrestrial area with a distance value,1.0000000000001137,0.98,>= 98%,True,-1.3498508902701243e-07,,
NER,Niger,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
NER,Niger,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
NGA,Nigeria,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
NGA,Nigeria,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
NGA,Nigeria,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9985938732009414,0.98,>= 98%,True,1258.0060117689509,,
NGA,Nigeria,continentality,terrestrial area with a distance value,1.0000000000002736,0.98,>= 98%,True,-2.447423717507626e-07,,
NGA,Nigeria,climate_zone,classified terrestrial area,0.9997355868205929,0.95,>= 95% and A1 - A2 > unclassified,True,236.56000974288008,,
NGA,Nigeria,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
RWA,Rwanda,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
RWA,Rwanda,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
RWA,Rwanda,elevation,valid terrestrial area (land-centred ETOPO pixels),0.996019653782974,0.98,>= 98%,True,98.95413567992809,,
RWA,Rwanda,continentality,terrestrial area with a distance value,1.0000000000000022,0.98,>= 98%,True,-5.520181101021011e-11,,
RWA,Rwanda,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
RWA,Rwanda,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
SEN,Senegal,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
SEN,Senegal,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
SEN,Senegal,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9977103082619448,0.98,>= 98%,True,440.6296683145254,,
SEN,Senegal,continentality,terrestrial area with a distance value,1.0000000000000655,0.98,>= 98%,True,-1.2605467584542128e-08,,
SEN,Senegal,climate_zone,classified terrestrial area,0.9995253142009801,0.95,>= 95% and A1 - A2 > unclassified,True,91.34882338065503,,
SEN,Senegal,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
SLE,Sierra Leone,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
SLE,Sierra Leone,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
SLE,Sierra Leone,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9960200326230404,0.98,>= 98%,True,296.54875437442774,,
SLE,Sierra Leone,continentality,terrestrial area with a distance value,0.9999999999999764,0.98,>= 98%,True,1.7620021140737845e-09,,
SLE,Sierra Leone,climate_zone,classified terrestrial area,0.9977677207550079,0.95,>= 95% and A1 - A2 > unclassified,True,166.327903427191,,
SLE,Sierra Leone,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
SOM,Somalia,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
SOM,Somalia,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
SOM,Somalia,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9988120063637962,0.98,>= 98%,True,752.1393943414888,,
SOM,Somalia,continentality,terrestrial area with a distance value,0.999999999999992,0.98,>= 98%,True,5.060890584528716e-09,,
SOM,Somalia,climate_zone,classified terrestrial area,0.999739058916609,0.95,>= 95% and A1 - A2 > unclassified,True,165.20632976427083,,
SOM,Somalia,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
ZAF,South Africa,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
ZAF,South Africa,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
ZAF,South Africa,elevation,valid terrestrial area (land-centred ETOPO pixels),0.999216594374771,0.98,>= 98%,True,955.7719317263203,,
ZAF,South Africa,continentality,terrestrial area with a distance value,0.9999999999997702,0.98,>= 98%,True,2.8038072990430055e-07,,
ZAF,South Africa,climate_zone,classified terrestrial area,0.9995451244106778,0.95,>= 95% and A1 - A2 > unclassified,True,554.9581298634876,,
ZAF,South Africa,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
SDN,Sudan,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
SDN,Sudan,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
SDN,Sudan,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9998147578566778,0.98,>= 98%,True,344.9689554441236,,
SDN,Sudan,continentality,terrestrial area with a distance value,0.9999999999997436,0.98,>= 98%,True,4.773911669335745e-07,,
SDN,Sudan,climate_zone,classified terrestrial area,0.999953444579555,0.95,>= 95% and A1 - A2 > unclassified,True,86.69827757946568,,
SDN,Sudan,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
SWZ,Swaziland,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
SWZ,Swaziland,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
SWZ,Swaziland,elevation,valid terrestrial area (land-centred ETOPO pixels),1.0,0.98,>= 98%,True,0.0,,
SWZ,Swaziland,continentality,terrestrial area with a distance value,0.9999999999999958,0.98,>= 98%,True,7.290051045809068e-11,,
SWZ,Swaziland,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
SWZ,Swaziland,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
TZA,Tanzania,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
TZA,Tanzania,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
TZA,Tanzania,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9982493088978298,0.98,>= 98%,True,1559.5328675359358,,
TZA,Tanzania,continentality,terrestrial area with a distance value,0.9999999999997324,0.98,>= 98%,True,2.3834842143624248e-07,,
TZA,Tanzania,climate_zone,classified terrestrial area,0.9998179604842755,0.95,>= 95% and A1 - A2 > unclassified,True,162.16259259599664,,
TZA,Tanzania,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
TGO,Togo,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
TGO,Togo,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
TGO,Togo,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9996526850945664,0.98,>= 98%,True,21.32396056756507,,
TGO,Togo,continentality,terrestrial area with a distance value,0.9999999999999633,0.98,>= 98%,True,2.256226378092642e-09,,
