iso3,Country,terrestrial_area_km2,valid_area_km2,coverage,baseline_dryness,p_bar_area_mean_mm_yr,e_bar_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share,n_cru_cells,n_valid_cru_cells,invalid_reasons
SWZ,Swaziland,17279.721670219784,17279.721670219784,1.0,-0.19782008933855233,844.4378750243494,1303.9240691338637,1.0,8.0,0.0,11,11,{}
TZA,Tanzania,890809.8439538183,890539.5167863787,0.999696537741164,-0.18166772243238533,931.7415764103658,1381.7487891259702,0.9981483561315733,7.833406638079224,0.0,340,336,"{""non-finite month"": 270.327167}"
TGO,Togo,61396.61797970473,61396.61797970473,1.0,-0.04055048665777438,1224.7986560747163,1339.0812195586038,1.0,7.999037343054188,0.0,28,28,{}
TUN,Tunisia,155502.67779252777,155391.5710511032,0.999285499497489,-0.9174216711751012,251.74757605223442,1462.9491004130837,1.0,7.998430910897974,0.0,84,81,"{""non-finite month"": 111.106741}"
UGA,Uganda,205926.3482680487,205926.3482680487,1.0,-0.0946799516102337,1134.617826635776,1405.6484376486928,1.0,7.9969641024430045,0.0,87,87,{}
ZMB,Zambia,741216.9132317905,741216.9132317905,1.0,-0.11958188952068632,1006.5266044310392,1307.0071840670553,0.997005966363229,7.8398472871049965,0.0,275,275,{}
ZWE,Zimbabwe,388795.5575149592,388795.5575149592,1.0,-0.2936083616964398,718.6034558544098,1372.7277856790117,1.0,7.999931690136887,0.0,148,148,{}
AFG,Afghanistan,642179.4188530908,642179.4188530908,1.0,-0.7146694628589113,315.16308785102564,1404.6200515131025,0.9269925973239177,3.8689425395374055,0.0,276,276,{}
ARM,Armenia,29225.768207239817,29225.768207239817,1.0,-0.21202360060967626,565.6790347127395,899.7966716521905,1.0,7.886803392833309,0.0,18,18,{}
AZE,Azerbaijan,85759.91761451519,85712.52095198055,0.9994473331615397,-0.3116949698066961,486.44944600147016,954.5117774950071,0.9999611900968995,7.805812140012322,0.0,54,52,"{""non-finite month"": 47.396663}"
BGD,Bangladesh,135738.43017362972,135597.7724606073,0.9989637591001862,0.29601280246847184,2467.586768655167,1193.3769522602483,0.9998536341711428,5.700000712672761,0.0,69,67,"{""non-finite month"": 140.657713}"
MMR,Burma,667744.3362052138,665663.3055894625,0.9968834919251015,0.2260011424818178,2109.3538891398753,1157.636392087328,0.9726300953622988,4.768904992336771,0.0,299,272,"{""non-finite month"": 2081.030616}"
KHM,Cambodia,176115.28073262883,176070.5262656305,0.999745879705542,0.11051562928577324,1770.3144307523232,1331.9851240069443,0.9986680618951302,6.000325798317722,0.0,73,69,"{""non-finite month"": 44.754467}"
CHN,China,9314818.081733596,9312961.740522852,0.9998007109538313,-0.3877733313185877,590.923183834408,889.5456725878125,0.7882008810503208,4.394122451069455,0.0627099499760306,4018,3976,"{""non-finite month"": 1856.341211}"
GEO,Georgia,69286.78068560013,69279.12074810758,0.9998894459027141,0.0931645259418555,1060.4224720882696,819.9195687444391,1.0,7.951614433499461,0.0,42,41,"{""non-finite month"": 7.659937}"
IND,India,3158591.419039531,3156446.6036235564,0.9993209582591005,-0.19991309041672486,1134.5542069321625,1520.055213780411,0.9994659671596554,7.132177210181335,0.0,1267,1228,"{""non-finite month"": 2144.815416}"
IDN,Indonesia,1897440.3510512533,1880615.0984405372,0.9911326579508051,0.3355729762355394,2733.876400122578,1234.6749333063929,0.7579613781734732,3.4302814521989586,0.07379300663218459,1214,915,"{""non-finite month"": 16825.252611}"
IRN,Iran,1617661.0020883293,1616601.3779067781,0.9993449652429135,-0.8645129683153921,232.29787848977438,1491.852389357923,0.7748384244312374,2.9081488683792953,0.0016259443733627008,687,675,"{""non-finite month"": 1059.624182}"
IRQ,Iraq,440934.90216792875,440934.90216792875,1.0,-1.0537321397250505,206.93680478326834,2029.7246694874632,0.5750703069782888,1.964535996843232,0.012076554137924819,191,191,{}
ISR,Israel,21870.81354761619,21870.81354761619,1.0,-0.8506789745873258,312.9291280437571,1590.5075457341786,0.993942757319589,7.045753301763113,0.0,15,15,{}
JPN,Japan,371511.12039189885,369090.66995103244,0.9934848506329687,0.320535394822658,1598.018840218274,750.4267405314517,0.9996661022401819,7.8800896414721056,0.0,324,241,"{""non-finite month"": 2420.450441}"
JOR,Jordan,86155.66690495024,86155.66690495024,1.0,-1.258017536526211,125.10996756042002,1896.342541502819,0.9772327437164277,6.528112226927746,0.0,43,43,{}
