iso3,Country,terrestrial_area_km2,valid_area_km2,missing_area_km2,coverage,passes_0_98,n_support_cells,n_invalid_support_cells,missing_area_both_pre_and_pet_masked_km2,missing_area_pet_masked_pre_valid_km2,missing_area_pre_masked_pet_valid_km2,missing_area_temporal_partial_km2,missing_area_nonpositive_mean_km2,missing_area_masked_all_1500_months_km2,missing_cells_area_weighted_mean_151_country_land_fraction,missing_cells_max_151_country_land_fraction
LKA,Sri Lanka,66241.20320277511,66058.1974045986,183.00579817651376,0.9972372814905505,True,37,4,40.56809592751919,142.43770224899458,0,0,0,183.00579817651376,0.03780774716968582,0.046687393618587425
SYR,Syria,186304.8916848154,186304.8916848154,0.0,1.0,True,89,0,0.0,0.0,0,0,0,0.0,,
TWN,Taiwan,36340.24662053837,36163.79920915869,176.44741137967767,0.995144573089387,True,41,16,80.99511939296157,95.45229198671608,0,0,0,176.44741137967767,0.016407573801974138,0.02556523677542098
TJK,Tajikistan,139993.581148512,139993.581148512,0.0,1.0,True,75,0,0.0,0.0,0,0,0,0.0,,
THA,Thailand,516325.4675294074,515476.6598565887,848.8076728187257,0.9983560608062193,True,228,17,531.3521267211327,317.455546097593,0,0,0,848.8076728187257,0.03881375316073724,0.08988363613444686
TUR,Turkey,771186.4309044062,770878.6465007167,307.78440368950385,0.9996008949440038,True,381,9,116.26780125779997,191.5166024317039,0,0,0,307.78440368950385,0.020385752353210034,0.0317415450846236
TKM,Turkmenistan,468851.51418843394,466591.88177189964,2259.6324165342667,0.9951804945741817,True,233,6,2259.6324165342667,0.0,0,0,0,2259.6324165342667,0.2805836417114343,0.34156551647183103
ARE,United Arab Emirates,79471.90601817542,79229.0584478808,242.84757029461613,0.996944233724065,True,49,9,242.84757029461613,0.0,0,0,0,242.84757029461613,0.031903421283693986,0.04872630353500767
UZB,Uzbekistan,417484.20640059625,417484.20640059625,0.0,1.0,True,223,0,0.0,0.0,0,0,0,0.0,,
VNM,Vietnam,329367.5859413006,328800.16517804714,567.4207632534415,0.9982772416367814,True,168,17,480.9743664178443,86.44639683559713,0,0,0,567.4207632534415,0.034757257936327564,0.05187695537251853
YEM,Yemen,454853.66345022945,454291.2359874034,562.4274628260907,0.9987634980038198,True,193,11,95.20915375061914,467.21830907547167,0,0,0,562.4274628260907,0.029547466083175048,0.04537458833572787
ALB,Albania,27823.331212047622,27823.331212047622,0.0,1.0,True,19,0,0.0,0.0,0,0,0,0.0,,
AUT,Austria,83605.16160251292,83605.16160251292,0.0,1.0,True,50,0,0.0,0.0,0,0,0,0.0,,
BLR,Belarus,205772.92251152458,205772.92251152458,0.0,1.0,True,128,0,0.0,0.0,0,0,0,0.0,,
BEL,Belgium,30652.429669957946,30652.429669957946,0.0,1.0,True,23,0,0.0,0.0,0,0,0,0.0,,
BIH,Bosnia And Herzegovina,51472.60275863837,51472.60275863837,0.0,1.0,True,30,0,0.0,0.0,0,0,0,0.0,,
BGR,Bulgaria,111389.75196961852,111340.91245065891,48.83951895960316,0.9995615438754821,True,62,2,3.0665763192588473,45.77294264034431,0,0,0,48.83951895960316,0.019138052571574422,0.020330423680708327
HRV,Croatia,56417.123384299884,56126.95187218,290.1715121198868,0.9948566765777244,True,52,9,16.740699161036392,273.43081295885037,0,0,0,290.1715121198868,0.07774795468068367,0.09756743997267073
