weights,family,representation,theta,loglik
station,sar,primary_total_co2,-0.54,286.86588903059646
station,sar,primary_total_co2,-0.53,287.58132633201626
station,sar,primary_total_co2,-0.52,288.2971455963913
station,sar,primary_total_co2,-0.51,289.0133245970874
station,sar,primary_total_co2,-0.5,289.7298403115368
station,sar,primary_total_co2,-0.49,290.4466689009895
station,sar,primary_total_co2,-0.48,291.16378568982384
station,sar,primary_total_co2,-0.47,291.88116514440907
station,sar,primary_total_co2,-0.45999999999999996,292.5987808515171
station,sar,primary_total_co2,-0.44999999999999996,293.316605496275
station,sar,primary_total_co2,-0.43999999999999995,294.03461083965556
