representation,model,iso3,column,group,value
primary_total_co2,M0star,ROU,abs_latitude,geography,46.00320000000001
primary_total_co2,M0star,RUS,abs_latitude,geography,53.74948717948718
primary_total_co2,M0star,SRB,abs_latitude,geography,43.663333333333334
primary_total_co2,M0star,SVK,abs_latitude,geography,48.225
primary_total_co2,M0star,SVN,abs_latitude,geography,45.81
primary_total_co2,M0star,ESP,abs_latitude,geography,39.671200000000006
primary_total_co2,M0star,SWE,abs_latitude,geography,58.662
primary_total_co2,M0star,CHE,abs_latitude,geography,46.775999999999996
primary_total_co2,M0star,UKR,abs_latitude,geography,48.826249999999995
primary_total_co2,M0star,GBR,abs_latitude,geography,52.80411764705883
primary_total_co2,M0star,BHS,abs_latitude,geography,24.92
primary_total_co2,M0star,CAN,abs_latitude,geography,46.77360000000001
primary_total_co2,M0star,CRI,abs_latitude,geography,10.45
primary_total_co2,M0star,CUB,abs_latitude,geography,21.125
primary_total_co2,M0star,DOM,abs_latitude,geography,19.016666666666666
primary_total_co2,M0star,SLV,abs_latitude,geography,13.660000000000002
primary_total_co2,M0star,GTM,abs_latitude,geography,15.270000000000001
