iso3,Country,m49_subregion,observed,C0_cv_prediction,M1a_cv_prediction,C0_abs_error,M1a_abs_error,C0_unseen_levels,M1a_unseen_levels,abs_error_change,pair
MAR,Morocco,Northern Africa,0.2418455862979349,0.18768737102639993,0.2082219253288906,0.05415821527153497,0.03362366096904429,0,0,-0.020534554302490682,primary
MOZ,Mozambique,Eastern Africa,0.172823801894673,0.19953410778294844,0.18648977000038036,0.026710305888275443,0.01366596810570736,0,0,-0.013044337782568083,primary
NAM,Namibia,Southern Africa,0.17785319196923344,0.20449328123176846,0.2015605672804648,0.026640089262535027,0.02370737531123135,0,0,-0.002932713951303678,primary
NER,Niger,Western Africa,0.2385606960588716,0.23761367165535188,0.2505394981291339,0.0009470244035197084,0.011978802070262307,0,0,0.011031777666742598,primary
NGA,Nigeria,Western Africa,0.2030109401107239,0.20066537224652975,0.20039557709111414,0.0023455678641941535,0.0026153630196097677,0,0,0.00026979515541561416,primary
RWA,Rwanda,Eastern Africa,0.20845952779692498,0.18465781439006268,0.18673774389557002,0.023801713406862296,0.021721783901354957,0,0,-0.0020799295055073386,primary
SEN,Senegal,Western Africa,0.24097868636270878,0.18728015982924984,0.18204413750233028,0.05369852653345894,0.058934548860378494,0,0,0.005236022326919554,primary
SLE,Sierra Leone,Western Africa,0.22372060994282955,0.1890789936696308,0.18798603105313322,0.034641616273198755,0.03573457888969633,0,0,0.001092962616497578,primary
SOM,Somalia,Eastern Africa,0.19588332023430152,0.19143515494218308,0.17564884430501054,0.0044481652921184445,0.02023447592929098,0,0,0.015786310637172535,primary
ZAF,South Africa,Southern Africa,0.16028496312204338,0.2031572392114474,0.21043052277650992,0.04287227608940403,0.05014555965446654,0,0,0.007273283565062516,primary
SDN,Sudan,Northern Africa,0.20487305719629992,0.2583186049306318,0.24945320419856776,0.05344554773433188,0.04458014700226784,0,0,-0.008865400732064044,primary
SWZ,Swaziland,Southern Africa,0.15934183499515397,0.2081157677474389,0.1739223370649416,0.04877393275228492,0.014580502069787615,0,0,-0.034193430682497306,primary
TZA,Tanzania,Eastern Africa,0.20953051997740807,0.15454788374160808,0.14926039586868062,0.05498263623579999,0.06027012410872745,0,0,0.00528748787292746,primary
TGO,Togo,Western Africa,0.1941324419699687,0.20490523972115782,0.21110968412960457,0.010772797751189112,0.016977242159635864,0,0,0.006204444408446752,primary
TUN,Tunisia,Northern Africa,0.23748975158588337,0.2374339213477368,0.22315560844305127,5.583023814656474e-05,0.014334143142832101,0,0,0.014278312904685536,primary
UGA,Uganda,Eastern Africa,0.21147594840550732,0.21985657153646632,0.22291930866845083,0.008380623130958997,0.011443360262943514,0,0,0.0030627371319845165,primary
ZMB,Zambia,Eastern Africa,0.17691283567770744,0.18066339430409573,0.17478985899837685,0.0037505586263882895,0.0021229766793305904,0,0,-0.001627581947057699,primary
ZWE,Zimbabwe,Eastern Africa,0.1535502891079796,0.1878164088912342,0.2113595885665086,0.034266119783254584,0.057809299458529,0,0,0.023543179675274417,primary
AFG,Afghanistan,Southern Asia,0.24733117695547363,0.1897249881037154,0.17832528326486174,0.05760618885175822,0.06900589369061189,0,0,0.011399704838853664,primary
ARM,Armenia,Western Asia,0.18833773750931812,0.17035955396425417,0.17138330208926922,0.017978183545063947,0.016954435420048902,0,0,-0.0010237481250150449,primary
AZE,Azerbaijan,Western Asia,0.19504824967387935,0.1732532811192064,0.1725616688921076,0.021794968554672944,0.022486580781771737,0,0,0.0006916122270987923,primary
BGD,Bangladesh,Southern Asia,0.11108862004719486,0.16143666455239303,0.15824882047068145,0.05034804450519817,0.04716020042348659,0,0,-0.003187844081711577,primary
MMR,Burma,South-eastern Asia,0.10898678984933867,0.1768805529471426,0.19206832999596624,0.06789376309780394,0.08308154014662757,0,0,0.015187777048823625,primary
KHM,Cambodia,South-eastern Asia,0.12397652977439673,0.15662636202022873,0.16665427150812828,0.032649832245832,0.04267774173373155,0,0,0.010027909487899556,primary
CHN,China,Eastern Asia,0.18801127254816274,0.1854172887700373,0.1903732300511921,0.002593983778125447,0.002361957503029366,0,0,-0.0002320262750960811,primary
GEO,Georgia,Western Asia,0.17014653222140888,0.16957362707163331,0.16756563594480972,0.0005729051497755655,0.0025808962765991594,0,0,0.002007991126823594,primary
IND,India,Southern Asia,0.12279874845556998,0.1825728363431402,0.17443586862117683,0.059774087887570215,0.05163712016560684,0,0,-0.008136967721963373,primary
IDN,Indonesia,South-eastern Asia,0.1365994643114788,0.08472933213652636,0.0727410648064449,0.05187013217495243,0.06385839950503389,0,0,0.011988267330081459,primary
IRN,Iran,Southern Asia,0.25326598928356275,0.15731367545479008,0.15090653169133222,0.09595231382877267,0.10235945759223053,0,0,0.0064071437634578565,primary
IRQ,Iraq,Western Asia,0.1763349119758569,0.1667525866066234,0.18243519812038858,0.009582325369233508,0.006100286144531675,0,0,-0.003482039224701833,primary
ISR,Israel,Western Asia,0.1289730259690734,0.20045413770401876,0.19293709384326158,0.07148111173494537,0.06396406787418818,0,0,-0.007517043860757189,primary
JPN,Japan,Eastern Asia,0.13484212055215955,0.12920758816507655,0.1364253471908981,0.005634532387083002,0.0015832266387385552,0,0,-0.004051305748344447,primary
