iso3,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share
TTO,22,16707.8,-61.1597,10.6474,10.6474,10.125,11.375,0.405217,0.636146,73.7252,92.3358,4.20967,179.625,452.614,0.671717,0.727365,1,0,0,0,0,A,1
TUN,279,178020,9.70861,34.2706,34.2706,30.375,37.625,1.73748,0.12323,259.647,224.284,27.2434,558.845,1266.23,0.123855,0.975683,0,0.857432,0.142568,0,0,B,0.857432
TUR,1402,840726,34.876,39.1579,39.1579,36.125,42.125,1.46973,0.0742997,1133.23,649.439,222.455,2017.52,3703.36,0.0715644,0.992371,0,0.234755,0.404987,0.360259,0,C,0.404987
TUV,12,9185.36,178.076,-7.7675,7.7675,-10.875,-5.625,1.39574,1,10.3614,0,10.3614,10.3614,10.3614,0.990741,0,,,,,,,
TWN,99,69987.1,120.776,23.7896,23.7896,20.625,26.375,1.10699,0.525564,743.691,803.63,10.7985,2003.59,3172.87,0.47587,0.757321,0.107759,0,0.892241,0,0,C,0.892241
TZA,1272,976000,34.9484,-6.2855,6.2855,-11.625,-1.125,2.64582,0.0259209,1009.88,468.407,292.06,1525.26,5115.98,0.0250699,0.993726,0.732258,0.161814,0.105928,0,0,A,0.732258
UGA,314,242519,32.3993,1.27503,1.27503,-1.375,3.875,1.38338,0,1145.34,252.173,919.277,1379.85,3330.24,0,1,0.987257,0,0.0127427,0,0,A,0.987257
UKR,1231,625516,31.6048,48.881,48.881,44.375,52.125,1.7515,0.0483172,178.981,151.753,56.5254,296.226,1826.14,0.0483798,0.993907,0,0.175264,0,0.824736,0,D,0.824736
UMI,11,8218.27,-165.781,12.7202,12.7202,-0.375,28.125,9.03629,1,4,0,4,4,4,0.989899,0,,,,,,,
URY,292,189421,-56.0037,-32.89,32.89,-34.875,-30.125,1.18716,0.0704778,107.278,65.9798,23.0939,196.599,393.105,0.0692542,0.989939,0,0,1,0,0,C,1
USA,19028,1.00046e+07,-104.592,45.2645,45.2645,18.875,71.375,10.6712,0.0486158,721.729,704.952,52.9758,1754.72,5251.02,0.0640927,0.987363,0.00606469,0.281811,0.235829,0.433753,0.0425432,D,0.433753
UZB,778,448359,63.3379,41.763,41.763,37.375,45.375,1.82634,0,356.149,494.494,57.6904,755.551,3901.1,0.000714082,1,0,0.933178,0.0315203,0.0340234,0.00127833,B,0.933178
VCT,7,5269.56,-61.2679,13.0533,13.0533,12.625,13.375,0.257564,1,278.696,249.353,70.6909,589.058,773.436,0.904762,0.570975,1,0,0,0,0,A,1
VEN,1273,974644,-66.1676,7.3559,7.3559,0.875,15.625,2.58366,0.064642,336.543,449.435,35.0795,880.641,4391,0.0552501,0.984448,0.947747,0.0395167,0.00955205,0,0.0031841,A,0.947747
VGB,3,2199.04,-64.4584,18.4583,18.4583,18.375,18.625,0.117822,1,78.1498,75.9132,9.81916,166.612,216.93,0.814815,0.333496,1,0,0,0,0,A,1
VIR,11,8084.88,-64.5339,17.9888,17.9888,17.625,18.375,0.246858,1,61.8317,42.8621,16.1637,112.48,128.544,0.949495,0.636385,1,0,0,0,0,A,1
