variant,fit,fold,column,coefficient
M0_legacy_representation,primary_training,16,spatial_block=North America,-0.09139693277544958
M0_legacy_representation,primary_training,16,spatial_block=Oceania,-0.054688881437990146
M0_legacy_representation,primary_training,16,spatial_block=South America,-0.061009674602606256
M0_legacy_representation,primary_training,16,income_group=Low-income countries,0.0022918210136598826
M0_legacy_representation,primary_training,16,income_group=Lower-middle-income countries,-0.011471780216133865
M0_legacy_representation,primary_training,16,income_group=Upper-middle-income countries,-0.014873722588914293
M0_legacy_representation,primary_training,17,intercept,0.016142685308288385
M0_legacy_representation,primary_training,17,cum_co2_per_capita,0.043431346370576177
M0_legacy_representation,primary_training,17,cum_co2_total,-0.026414437092432994
M0_legacy_representation,primary_training,17,abs_latitude,0.0010001812571969026
M0_legacy_representation,primary_training,17,elevation,-5.084999922169456e-07
M0_legacy_representation,primary_training,17,continentality,4.6061335184614356e-05
M0_legacy_representation,primary_training,17,population,0.027010328386720062
M0_legacy_representation,primary_training,17,station_density,-0.001534911435406409
M0_legacy_representation,primary_training,17,climate_zone=B,0.0008543776873025473
M0_legacy_representation,primary_training,17,climate_zone=C,-0.02761067883293296
M0_legacy_representation,primary_training,17,climate_zone=D,-0.012238523100620761
M0_legacy_representation,primary_training,17,climate_zone=E,-0.09853366501304457
M0_legacy_representation,primary_training,17,hemisphere=S,-0.03215871345439984
M0_legacy_representation,primary_training,17,spatial_block=Asia,-0.05640572870765255
M0_legacy_representation,primary_training,17,spatial_block=Europe,-0.06520963872180918
M0_legacy_representation,primary_training,17,spatial_block=North America,-0.09745588196258838
M0_legacy_representation,primary_training,17,spatial_block=Oceania,-0.05505450888446281
M0_legacy_representation,primary_training,17,spatial_block=South America,-0.06515581840056887
M0_legacy_representation,primary_training,17,income_group=Low-income countries,-0.0005376084835395749
M0_legacy_representation,primary_training,17,income_group=Lower-middle-income countries,-0.01301351968900901
M0_legacy_representation,primary_training,17,income_group=Upper-middle-income countries,-0.01454733759083532
M0_legacy_representation,primary_training,18,intercept,0.014320778006826693
M0_legacy_representation,primary_training,18,cum_co2_per_capita,0.03857357457288223
M0_legacy_representation,primary_training,18,cum_co2_total,-0.022450371420725278
M0_legacy_representation,primary_training,18,abs_latitude,0.0010572239270509602
M0_legacy_representation,primary_training,18,elevation,-5.22172182880298e-07
M0_legacy_representation,primary_training,18,continentality,4.055763283497879e-05
M0_legacy_representation,primary_training,18,population,0.024900722047353475
M0_legacy_representation,primary_training,18,station_density,-0.0017189964808226707
M0_legacy_representation,primary_training,18,climate_zone=B,0.007129386503476554
M0_legacy_representation,primary_training,18,climate_zone=C,-0.021783243257664616
M0_legacy_representation,primary_training,18,climate_zone=D,-0.006198601278648228
M0_legacy_representation,primary_training,18,climate_zone=E,-0.09184564584646876
M0_legacy_representation,primary_training,18,hemisphere=S,-0.023384852947280082
M0_legacy_representation,primary_training,18,spatial_block=Asia,-0.04883007431544108
M0_legacy_representation,primary_training,18,spatial_block=Europe,-0.05744032022247917
M0_legacy_representation,primary_training,18,spatial_block=North America,-0.0860973891570377
