weights,family,representation,theta,loglik
land,sar,primary_total_co2,0.3700000000000001,350.01789090296313
land,sar,primary_total_co2,0.3800000000000001,350.60879087977895
land,sar,primary_total_co2,0.3900000000000001,351.19323083321535
land,sar,primary_total_co2,0.40000000000000013,351.7709968753767
land,sar,primary_total_co2,0.41000000000000014,352.34186989570657
land,sar,primary_total_co2,0.41999999999999993,352.9056254241458
land,sar,primary_total_co2,0.42999999999999994,353.46203348516354
land,sar,primary_total_co2,0.43999999999999995,354.0108584414525
land,sar,primary_total_co2,0.44999999999999996,354.5518588258958
land,sar,primary_total_co2,0.45999999999999996,355.08478716023217
land,sar,primary_total_co2,0.47,355.6093897586126
land,sar,primary_total_co2,0.48,356.1254065139917
land,sar,primary_total_co2,0.49,356.63257066500245
land,sar,primary_total_co2,0.5,357.1306085406212
land,sar,primary_total_co2,0.51,357.61923927954297
land,sar,primary_total_co2,0.52,358.0981745207299
land,sar,primary_total_co2,0.53,358.5671180610733
land,sar,primary_total_co2,0.54,359.0257654754946
land,sar,primary_total_co2,0.55,359.4738036940985
land,sar,primary_total_co2,0.56,359.9109105301505
land,sar,primary_total_co2,0.5700000000000001,360.33675415167255
land,sar,primary_total_co2,0.5800000000000001,360.75099248828514
land,sar,primary_total_co2,0.5900000000000001,361.15327256355164
land,sar,primary_total_co2,0.6000000000000001,361.5432297414548
land,sar,primary_total_co2,0.6100000000000001,361.9204868736776
land,sar,primary_total_co2,0.6200000000000001,362.28465333203866
land,sar,primary_total_co2,0.6300000000000001,362.6353239076201
land,sar,primary_total_co2,0.6400000000000001,362.97207755472914
land,sar,primary_total_co2,0.6500000000000001,363.29447595371454
land,sar,primary_total_co2,0.6600000000000001,363.60206186161633
land,sar,primary_total_co2,0.6700000000000002,363.89435721343676
land,sar,primary_total_co2,0.6799999999999999,364.17086092917566
land,sar,primary_total_co2,0.69,364.43104637226753
land,sar,primary_total_co2,0.7,364.67435839316545
land,sar,primary_total_co2,0.71,364.9002098768398
land,sar,primary_total_co2,0.72,365.10797769396066
land,sar,primary_total_co2,0.73,365.29699793123126
land,sar,primary_total_co2,0.74,365.46656024503335
land,sar,primary_total_co2,0.75,365.6159011418133
land,sar,primary_total_co2,0.76,365.7441959351979
land,sar,primary_total_co2,0.77,365.8505490589599
land,sar,primary_total_co2,0.78,365.9339823199826
land,sar,primary_total_co2,0.79,365.9934205465971
land,sar,primary_total_co2,0.8,366.0276739108216
land,sar,primary_total_co2,0.81,366.0354159568285
land,sar,primary_total_co2,0.8200000000000001,366.01515601998665
land,sar,primary_total_co2,0.8300000000000001,365.96520422084035
land,sar,primary_total_co2,0.8400000000000001,365.88362648679845
land,sar,primary_total_co2,0.8500000000000001,365.7681859620489
land,sar,primary_total_co2,0.8600000000000001,365.61626549841804
land,sar,primary_total_co2,0.8700000000000001,365.4247633082615
land,sar,primary_total_co2,0.8800000000000001,365.1899496525304
land,sar,primary_total_co2,0.8900000000000001,364.9072654329759
land,sar,primary_total_co2,0.9000000000000001,364.57103145357877
land,sar,primary_total_co2,0.9100000000000001,364.1740152655344
land,sar,primary_total_co2,0.9200000000000002,363.70676097351725
land,sar,primary_total_co2,0.9299999999999999,363.15650336937455
land,sar,primary_total_co2,0.94,362.5053044001543
land,sar,primary_total_co2,0.95,361.72660950246774
land,sar,primary_total_co2,0.96,360.7782219322582
land,sar,primary_total_co2,0.97,359.58581209295863
land,sar,primary_total_co2,0.98,357.9948092512472
land,sar,primary_total_co2,0.99,355.5602765173807
land,sem,per_capita,-0.99,284.0321257658331
land,sem,per_capita,-0.98,284.43288732861913
land,sem,per_capita,-0.97,284.83374694348896
land,sem,per_capita,-0.96,285.2347112376881
land,sem,per_capita,-0.95,285.63578684281475
land,sem,per_capita,-0.94,286.0369803948012
